Library name,Module set,Work shift,n_diff_assign,n_assign,n_diff_assign_selected_modules,n_assign_selected_modules,percentage_gap,targets,percentage_n_assign_selected_modules,percentage_n_assign,d_lev_mean,Sequence difference
VS.04.05,LAB-2,True,36,175,15,50,56.5,4,30.0,20.6,0.4,0.6
VS.04.06,LAB-1,False,21,145,11,44,38.6,4,25.0,14.5,0.45,0.55
VS.04.06,LAB-1,True,26,145,10,44,42.3,4,22.7,17.9,0.44,0.56
VS.04.06,LAB-2,False,19,145,11,44,34.8,4,25.0,13.1,0.51,0.49
VS.04.06,LAB-2,True,25,145,9,44,38.3,4,20.5,17.2,0.42,0.5800000000000001
VS.04.07,LAB-2,False,27,175,14,58,59.7,4,24.1,15.4,0.34,0.6599999999999999
VS.04.07,LAB-2,True,30,175,14,58,62.8,4,24.1,17.1,0.38,0.62
VS.04.08,LAB-2,False,26,124,11,38,61.9,4,28.9,21.0,0.37,0.63
VS.04.08,LAB-2,True,16,124,8,38,61.0,4,21.1,12.9,0.44,0.56
VS.04.09,LAB-1,True,28,193,11,58,57.3,4,19.0,14.5,0.39,0.61
VS.04.09,LAB-2,False,19,193,12,58,53.7,4,20.7,9.8,0.45,0.55
VS.04.09,LAB-2,True,34,193,15,58,54.6,4,25.9,17.6,0.36,0.64
VS.04.10,LAB-2,False,34,200,19,68,61.6,4,27.9,17.0,0.39,0.61
VS.04.10,LAB-2,True,34,200,20,68,61.6,4,29.4,17.0,0.36,0.64
VS.05.01,LAB-2,False,39,247,19,80,62.1,5,23.8,15.8,0.35,0.65
VS.05.01,LAB-2,True,48,247,24,80,63.8,5,30.0,19.4,0.32,0.6799999999999999
VS.05.02,LAB-2,True,44,225,12,70,62.6,5,17.1,19.6,0.32,0.6799999999999999
VS.05.05,LAB-2,False,38,238,16,74,60.2,5,21.6,16.0,0.35,0.65
VS.05.05,LAB-2,True,47,238,20,74,57.8,5,27.0,19.7,0.33,0.6699999999999999
VS.05.08,LAB-2,True,41,235,17,72,65.1,5,23.6,17.4,0.33,0.6699999999999999
VS.05.10,LAB-2,True,40,212,18,70,64.0,5,25.7,18.9,0.34,0.6599999999999999
VS.06.01,LAB-2,False,53,294,29,100,68.0,6,29.0,18.0,0.33,0.6699999999999999
VS.06.01,LAB-2,True,56,294,28,100,70.6,6,28.0,19.0,0.35,0.65
VS.06.03,LAB-2,False,35,222,21,74,60.3,6,28.4,15.8,0.36,0.64
VS.06.03,LAB-2,True,38,222,19,74,62.1,6,25.7,17.1,0.34,0.6599999999999999
VS.06.04,LAB-2,False,53,286,26,88,67.9,6,29.5,18.5,0.3,0.7
VS.06.04,LAB-2,True,52,286,23,88,70.2,6,26.1,18.2,0.33,0.6699999999999999
VS.06.06,LAB-2,False,51,296,23,92,70.9,6,25.0,17.2,0.32,0.6799999999999999
VS.06.06,LAB-2,True,55,296,21,92,72.3,6,22.8,18.6,0.29,0.71
VS.06.09,LAB-2,False,37,220,16,70,63.2,6,22.9,16.8,0.33,0.6699999999999999
VS.06.09,LAB-2,True,41,220,22,70,64.5,6,31.4,18.6,0.33,0.6699999999999999
VS.07.01,LAB-2,True,47,304,27,98,72.5,7,27.6,15.5,0.29,0.71
